Operation,Planned_Population_Group1,Goal1,Rights_Group1,Objective1,Year1,Indicators6,Impact_Indicator_Value_Baseline2,Impact_Indicator_Value_Imp_Target2,Impact_Indicator_Value_Comp_Target2,Impact_Indicator_Value_Mid_Year2,Impact_Indicator_Value_Year_End2,Impact_Indicator_Value_Standard2
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,60.0,80.0,85.0,,,100.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,70.0,70.0,100.0,,,100.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,70.0,70.0,100.0,,,100.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,70.0,70.0,100.0,,,80.0
Libya,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,70.0,70.0,100.0,,,80.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,40.0,50.0,80.0,,,80.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,30.0,40.0,50.0,,,80.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,30.0,40.0,50.0,,,80.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,50.0,60.0,70.0,,43.0,80.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,30.0,50.0,80.0,,,80.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,70.0,85.0,90.0,,83.0,100.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,70.0,80.0,90.0,,,100.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,83.0,90.0,90.0,,,100.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,83.0,90.0,90.0,,,100.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,20.0,40.0,50.0,,17.5,50.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,30.0,40.0,40.0,,,50.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,,,,,,50.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,,,,,,50.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are qualified,40.0,50.0,50.0,,52.5,70.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are qualified,50.0,60.0,80.0,,,70.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are qualified,,,,,,70.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are qualified,,,,,,70.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers with professional teaching qualifications,,,,,,70.0
Malawi,Refugees and asylum seekers in Dzaleka camp and urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers with professional teaching qualifications,,,,,,70.0
